obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"694.976"	""	""		"8.4365241"	"10.2200428"	3	7	E2	
"696.110"	"20"	""		"11.3751242"	"13.15569"	7	9		
"697.6182"	"100"	"1.91e+06"	B	"9.7207407"	"11.4975007"	7	7		
"698.205"	"30"	""		"9.7207407"	"11.4960046"	7	5		
"699.165"	"1"	""		"9.9170767"	"11.689912"	3	1		
"700.310"	"4"	""		"9.7207407"	"11.4906715"	7	5		
"701.902"	"30"	"3.5e+05"	C	"9.7207407"	"11.4866555"	7	7		
"703.480"	"3"	""		"10.0390549"	"11.801022"	7	5		
"703.553"	"20"	"4.00e+05"	B+	"9.8210940"	"11.5828652"	5	3		
"704.737"	"30*"	""		"10.1574692"	"11.916266"	5	7		
"704.737"	"30*"	"6.40e+05"	B+	"9.8210940"	"11.5799075"	5	5		
"704.907"	"1h"	""		"9.9170767"	"11.675451"	3	3		
"704.936"	"1h"	""		"10.1574692"	"11.915794"	5	5		
"705.106"	"3"	""		"9.5801530"	"11.3380418"	3	5		
"707.244"	"30"	""		"11.3014907"	"13.05407"	5	7		
"707.846"	"1"	""		"9.9170767"	"11.668172"	3	5		
"711.9598"	"500"	"8.39e+06"	B	"9.7207407"	"11.4617102"	7	9		
"713.657"	"15"	""		"9.6856205"	"11.4224518"	5	3		
"717.270"	"10"	""		"9.9431148"	"11.671194"	9	7		
"719.242"	"4"	""		"11.4339916"	"13.15730"	5	3		
"720.079"	"15"	""		"9.5801530"	"11.3014907"	3	5		
"720.914"	"5"	""		"9.9587513"	"11.678101"	5	5		
"722.024"	"1"	""		"9.9587513"	"11.675451"	5	3		
"722.264"	"20"	""		"11.3380418"	"13.05407"	5	7		
"723.820"	"3"	""		"9.9587513"	"11.671194"	5	7		
"724.494"	"20*"	""		"10.0390549"	"11.7499162"	7	7		
"724.494"	"20*"	""		"10.0390549"	"11.7499235"	7	9		
"724.992"	"2"	""		"10.0390549"	"11.7487346"	7	5		
"725.087"	"5h"	""		"10.0390549"	"11.7485091"	7	7		
"725.794"	"60"	""		"10.0390549"	"11.7468479"	7	9		
"726.254"	"20"	""		"9.7893002"	"11.4960046"	3	5		
"726.649"	"25"	""		"9.7893002"	"11.4950757"	3	3		
"728.3961"	"40"	""		"9.5697254"	"11.2714099"	3	5		
"728.5301"	"60"	"4.09e+06"	B	"9.7893002"	"11.4906715"	3	5		
"730.737"	"5h"	""		"10.2200428"	"11.916275"	7	9		
"731.301"	"1h"	""		"10.2200428"	"11.914974"	7	9		
